security_id,nse_symbol,isin,company_name,issuer_id,exchange_id,listing_date,active_flag,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
1,20MICRONS,INE144J01027,20 MICRONS LIMITED,1,1,2008-10-06,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
2,21STCENMGM,INE253B01015,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,1,1995-05-03,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
3,360ONE,INE466L01038,360 ONE WAM LIMITED,3,1,2019-09-19,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
4,3BBLACKBIO,INE994E01018,3B BLACKBIO DX LIMITED,4,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
5,3IINFOLTD,INE748C01038,3I INFOTECH LIMITED,5,1,2021-10-22,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
6,3MINDIA,INE470A01017,3M INDIA LIMITED,6,1,2004-08-13,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
7,3PLAND,INE105C01023,3P LAND HOLDINGS LIMITED,7,1,1995-07-19,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
8,5PAISA,INE618L01018,5PAISA CAPITAL LIMITED,8,1,2017-11-16,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
9,63MOONS,INE111B01023,63 MOONS TECHNOLOGIES LIMITED,9,1,2005-06-20,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
10,A2ZINFRA,INE619I01012,A2Z INFRA ENGINEERING LIMITED,10,1,2010-12-23,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
11,AAATECH,INE0D0U01013,AAA TECHNOLOGIES LIMITED,11,1,2022-11-28,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
12,AADHARHFC,INE883F01010,AADHAR HOUSING FINANCE LIMITED,12,1,2024-05-15,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
13,AAKASH,INE087Z01024,AAKASH EXPLORATION SERVICES LIMITED,13,1,2020-09-29,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
14,AAREYDRUGS,INE198H01019,AAREY DRUGS AND PHARMACEUTICALS LIMITED,14,1,2021-08-06,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
15,AARNAV,INE750R01016,AARNAV FASHIONS LIMITED,15,1,2026-02-25,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
16,AARON,INE721Z01010,AARON INDUSTRIES LIMITED,16,1,2020-11-06,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
17,AARTECH,INE01C001026,AARTECH SOLONICS LIMITED,17,1,2023-07-10,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
18,AARTIDRUGS,INE767A01016,AARTI DRUGS LIMITED,18,1,2003-09-19,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
19,AARTIIND,INE769A01020,AARTI INDUSTRIES LIMITED,19,1,1995-02-08,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
20,AARTIPHARM,INE0LRU01027,AARTI PHARMALABS LIMITED,20,1,2023-01-30,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
21,AARTISURF,INE09EO01013,AARTI SURFACTANTS LIMITED,21,1,2020-07-14,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
22,AARVI,INE754X01016,AARVI ENCON LIMITED,22,1,2020-06-24,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
23,AASTHA,INE2FMX01012,AASTHA SPINTEX LIMITED,23,1,2026-07-06,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
24,AAVAS,INE216P01012,AAVAS FINANCIERS LIMITED,24,1,2018-10-08,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
25,ABAN,INE421A01028,ABAN OFFSHORE LIMITED,25,1,1995-03-29,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
26,ABANSENT,INE365O01028,ABANS ENTERPRISES LIMITED,26,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
27,ABB,INE117A01022,ABB INDIA LIMITED,27,1,1995-02-08,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
28,ABBOTINDIA,INE358A01014,ABBOTT INDIA LIMITED,28,1,2010-01-08,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
29,ABCAPITAL,INE674K01013,ADITYA BIRLA CAPITAL LIMITED,29,1,2017-09-01,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
30,ABCOTS,INE08PH01015,A B COTSPIN INDIA LIMITED,30,1,2025-09-24,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
31,ABDL,INE552Z01027,ALLIED BLENDERS AND DISTILLERS LIMITED,31,1,2024-07-02,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
32,ABFRL,INE647O01011,ADITYA BIRLA FASHION AND RETAIL LIMITED,32,1,2013-07-17,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
33,ABINFRA,INE00YB01025,A B INFRABUILD LIMITED,33,1,2024-11-08,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
34,ABLBL,INE14LE01019,ADITYA BIRLA LIFESTYLE BRANDS LIMITED,34,1,2025-06-23,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
35,ABMINTLLTD,INE251C01025,ABM INTERNATIONAL LIMITED,35,1,2021-09-09,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
36,ABMKNO,INE850B01026,ABM KNOWLEDGEWARE LIMITED,36,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
37,ABREL,INE055A01016,ADITYA BIRLA REAL ESTATE LIMITED,37,1,2003-06-27,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
38,ABSLAMC,INE404A01024,ADITYA BIRLA SUN LIFE AMC LIMITED,38,1,2021-10-11,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
39,ACC,INE012A01025,ACC LIMITED,39,1,1996-11-20,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
40,ACCELYA,INE793A01012,ACCELYA SOLUTIONS INDIA LIMITED,40,1,1999-12-01,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
41,ACCURACY,INE648Z01023,ACCURACY SHIPPING LIMITED,41,1,2020-12-11,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
42,ACE,INE731H01025,ACTION CONSTRUCTION EQUIPMENT LIMITED,42,1,2006-09-26,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
43,ACEINTEG,INE543V01017,ACE INTEGRATED SOLUTIONS LIMITED,43,1,2022-11-04,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
44,ACI,INE128X01021,ARCHEAN CHEMICAL INDUSTRIES LIMITED,44,1,2022-11-21,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
45,ACL,INE666E01020,ANDHRA CEMENTS LIMITED,45,1,2023-05-10,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
46,ACMESOLAR,INE622W01025,ACME SOLAR HOLDINGS LIMITED,46,1,2024-11-13,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
47,ACSTECH,INE366C01021,ACS TECHNOLOGIES LIMITED,47,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
48,ACUTAAS,INE00FF01025,ACUTAAS CHEMICALS LIMITED,48,1,2021-09-14,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
49,ADANIENSOL,INE931S01010,ADANI ENERGY SOLUTIONS LIMITED,49,1,2015-07-31,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
50,ADANIENT,INE423A01024,ADANI ENTERPRISES LIMITED,50,1,1997-06-04,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
51,ADANIGREEN,INE364U01010,ADANI GREEN ENERGY LIMITED,51,1,2018-06-18,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
52,ADANIPORTS,INE742F01042,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,52,1,2007-11-27,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
53,ADANIPOWER,INE814H01029,ADANI POWER LIMITED,53,1,2009-08-20,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
54,ADFFOODS,INE982B01027,ADF FOODS LIMITED,54,1,2010-09-15,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
55,ADL,INE0CHO01012,ARCHIDPLY DECOR LIMITED,55,1,2020-10-01,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
56,ADOR,INE045A01017,ADOR WELDING LIMITED,56,1,1995-05-10,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
57,ADROITINFO,INE737B01033,ADROIT INFOTECH LIMITED,57,1,1997-08-13,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
58,ADSL,INE102I01027,ALLIED DIGITAL SERVICES LIMITED,58,1,2007-07-25,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
59,ADVAIT,INE0ALI01010,ADVAIT ENERGY TRANSITIONS LIMITED,59,1,2026-01-20,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
60,ADVANCE,INE1B0W01010,ADVANCE AGROLIFE LIMITED,60,1,2025-10-08,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
61,ADVANIHOTR,INE199C01026,ADVANI HOTELS AND RESORTS (INDIA) LIMITED,61,1,2007-06-25,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
62,ADVENTHTL,INE28GN01010,ADVENT HOTELS INTERNATIONAL LIMITED,62,1,2025-11-13,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
63,ADVENZYMES,INE837H01020,ADVANCED ENZYME TECHNOLOGIES LIMITED,63,1,2016-08-01,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
64,AEGISLOG,INE208C01025,AEGIS LOGISTICS LIMITED,64,1,1996-04-03,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
65,AEGISVOPAK,INE0INX01018,AEGIS VOPAK TERMINALS LIMITED,65,1,2025-06-02,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
66,AEPL,INE757T01025,ARTEMIS ELECTRICALS AND PROJECTS LIMITED,66,1,2026-03-12,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
67,AEQUS,INE947N01017,AEQUS LIMITED,67,1,2025-12-10,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
68,AEROENTER,INE065D01027,AEROFLEX ENTERPRISES LIMITED,68,1,2022-11-21,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
69,AEROFLEX,INE024001021,AEROFLEX INDUSTRIES LIMITED,69,1,2023-08-31,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
70,AERONEU,INE035801013,AEROFLEX NEU LIMITED,70,1,2023-01-12,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
71,AEROPLANE,INE05TO01019,AMIR CHAND JAGDISH KUMAR (EXPORTS) LIMITED,71,1,2026-04-02,True,nse_symbols_consolidated.csv,2026-08-15,,1.0,False
