security_id,action_code,event_date,record_date,payment_date,old_value,new_value,adjustment_factor,confidence_score,confidence_flag,_source_file,_extracted_date,_quality_issues,_manual_review_required
2321.0,DIVIDEND,2026-05-29,2026-05-29,,5.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
2558.0,CAPITAL_REDUCTION,2026-05-29,2026-05-29,,1.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
,DIVIDEND,2026-05-29,2026-05-29,,1.0,,,0.7,MEDIUM,nse_symbols_consolidated.csv,2026-08-26,UNRESOLVED_SYMBOL,False
985.0,DIVIDEND,2026-05-29,2026-05-29,,10.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
964.0,DIVIDEND,2026-05-29,2026-05-29,,2.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
1977.0,DIVIDEND,2026-05-29,2026-05-29,,5.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
422.0,DIVIDEND,2026-05-29,2026-05-30,,2.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
585.0,CAPITAL_REDUCTION,2026-05-29,2026-05-29,,2.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
533.0,CAPITAL_REDUCTION,2026-05-29,2026-05-29,,10.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
2392.0,DIVIDEND,2026-05-29,2026-05-29,,2.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
270.0,DIVIDEND,2026-05-29,2026-05-29,,10.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
694.0,DIVIDEND,2026-05-29,2026-05-29,,1.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
,UNKNOWN,2026-05-29,2026-05-30,,100.0,,,0.55,LOW,nse_symbols_consolidated.csv,2026-08-26,"UNKNOWN_ACTION_TYPE,UNRESOLVED_SYMBOL",True
299.0,DIVIDEND,2026-05-29,2026-05-29,,10.0,,,1.0,HIGH,nse_symbols_consolidated.csv,2026-08-26,,False
