security_id,trading_date,open_price,high_price,low_price,close_price,volume,normalization_error,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
1.0,2026-09-02,212.0,216.39,207.0,211.36,90223,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
2.0,2026-09-02,40.39,40.39,38.81,38.85,5812,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
3.0,2026-09-02,1156.4,1181.3,1128.6,1181.3,666823,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
4.0,2026-09-02,1528.5,1588.9,1469.1,1478.6,50928,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
5.0,2026-09-02,22.8,22.99,22.01,22.43,131772,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
6.0,2026-09-02,33205.0,33290.0,32805.0,32895.0,1858,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
7.0,2026-09-02,31.8,33.97,31.51,32.75,911,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
8.0,2026-09-02,344.25,344.8,335.0,336.55,26993,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
9.0,2026-09-02,777.75,820.0,775.0,805.1,444235,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
30.0,2026-09-02,215.9,215.9,208.0,209.57,2466,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
33.0,2026-09-02,11.03,11.39,11.03,11.27,87389,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
36.0,2026-09-02,190.91,191.86,190.0,190.9,1070,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
48.0,2026-09-02,50.94,51.5,50.02,51.25,59299,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
103.0,2026-09-02,1729.7,1729.7,1682.0,1699.4,1057,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
10.0,2026-09-02,16.16,16.8,16.11,16.4,167484,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
11.0,2026-09-02,93.79,95.77,93.01,93.07,9744,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
12.0,2026-09-02,478.5,478.5,465.0,475.4,240290,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
13.0,2026-09-02,8.8,8.87,8.52,8.67,72356,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
14.0,2026-09-02,92.5,94.0,91.0,91.72,146358,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
15.0,2026-09-02,33.6,33.6,32.05,32.1,6179,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
16.0,2026-09-02,127.6,130.0,124.68,125.95,8560,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
17.0,2026-09-02,48.0,50.0,48.0,49.81,68063,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
18.0,2026-09-02,430.0,430.0,415.85,417.8,170806,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
19.0,2026-09-02,520.0,520.9,503.05,505.2,917705,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
20.0,2026-09-02,866.0,879.4,859.5,867.25,343720,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
21.0,2026-09-02,507.0,539.9,502.0,526.05,22238,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
22.0,2026-09-02,148.94,149.0,142.2,143.08,29676,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
23.0,2026-09-02,82.96,82.96,78.1,79.19,304911,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
24.0,2026-09-02,1248.5,1287.6,1234.2,1258.7,229811,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
25.0,2026-09-02,14.54,14.83,14.25,14.83,60782,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
26.0,2026-09-02,27.93,27.93,26.63,27.58,14689,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
80.0,2026-09-02,205.0,215.0,202.25,210.47,6924,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
27.0,2026-09-02,7348.5,7447.5,7258.0,7447.5,163580,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
28.0,2026-09-02,26185.0,26265.0,25810.0,26045.0,7827,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
35.0,2026-09-02,55.0,56.1,55.0,56.1,132,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
39.0,2026-09-02,1271.0,1272.2,1252.9,1266.6,146429,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
40.0,2026-09-02,1137.9,1143.8,1125.6,1135.1,4566,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
41.0,2026-09-02,4.29,4.29,4.16,4.26,57458,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
43.0,2026-09-02,17.45,17.67,17.01,17.27,5445,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
47.0,2026-09-02,395.0,411.15,391.1,398.25,2449655,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
42.0,2026-09-02,1087.0,1099.9,1073.8,1090.9,159180,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
49.0,2026-09-02,3161.1,3195.6,3120.0,3134.9,190272,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
50.0,2026-09-02,1374.6,1401.0,1348.0,1396.6,4214587,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
51.0,2026-09-02,2859.8,2905.0,2830.5,2891.8,1642492,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
52.0,2026-09-02,1244.0,1303.0,1236.4,1296.0,2634560,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
53.0,2026-09-02,1637.1,1676.7,1632.1,1672.7,2338937,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
54.0,2026-09-02,202.59,207.7,200.12,207.7,18174608,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
230.0,2026-09-02,613.95,624.95,604.3,614.95,776942,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
55.0,2026-09-02,83.5,90.0,83.5,85.29,595,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
56.0,2026-09-02,263.0,269.0,258.8,267.7,107626,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
38.0,2026-09-02,1025.3,1036.4,1007.5,1022.0,398572,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
29.0,2026-09-02,390.0,397.05,385.1,397.05,4883439,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
32.0,2026-09-02,51.1,51.29,50.2,50.47,4428051,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
34.0,2026-09-02,84.6,84.7,82.61,82.78,860340,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
358.0,2026-09-02,127.02,129.0,125.62,126.47,11603,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
37.0,2026-09-02,1350.3,1350.3,1318.7,1331.1,84555,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
511.0,2026-09-02,3742.0,3787.6,3665.2,3721.4,222182,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
254.0,2026-09-02,601.0,607.6,593.15,599.85,315136,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
58.0,2026-09-02,1706.0,1744.8,1670.8,1730.3,71667,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
59.0,2026-09-02,10.53,10.55,10.02,10.26,7962,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
61.0,2026-09-02,2095.0,2160.0,2080.0,2139.0,49312,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
62.0,2026-09-02,116.62,121.09,115.1,117.89,331320,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
65.0,2026-09-02,295.35,296.6,292.25,292.9,188103,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
