nse_symbol,isin,company_name,listing_date,active_flag
20MICRONS,INE144J01027,20 MICRONS LIMITED,2008-10-06,True
21STCENMGM,INE253B01015,21ST CENTURY MANAGEMENT SERVICES LIMITED,1995-05-03,True
360ONE,INE466L01038,360 ONE WAM LIMITED,2019-09-19,True
3BBLACKBIO,INE994E01018,3B BLACKBIO DX LIMITED,2026-04-20,True
3IINFOLTD,INE748C01038,3I INFOTECH LIMITED,2021-10-22,True
3MINDIA,INE470A01017,3M INDIA LIMITED,2004-08-13,True
3PLAND,INE105C01023,3P LAND HOLDINGS LIMITED,1995-07-19,True
5PAISA,INE618L01018,5PAISA CAPITAL LIMITED,2017-11-16,True
63MOONS,INE111B01023,63 MOONS TECHNOLOGIES LIMITED,2005-06-20,True
A2ZINFRA,INE619I01012,A2Z INFRA ENGINEERING LIMITED,2010-12-23,True
AAATECH,INE0D0U01013,AAA TECHNOLOGIES LIMITED,2022-11-28,True
AADHARHFC,INE883F01010,AADHAR HOUSING FINANCE LIMITED,2024-05-15,True
AAKASH,INE087Z01024,AAKASH EXPLORATION SERVICES LIMITED,2020-09-29,True
AAREYDRUGS,INE198H01019,AAREY DRUGS AND PHARMACEUTICALS LIMITED,2021-08-06,True
AARNAV,INE750R01016,AARNAV FASHIONS LIMITED,2026-02-25,True
AARON,INE721Z01010,AARON INDUSTRIES LIMITED,2020-11-06,True
AARTECH,INE01C001026,AARTECH SOLONICS LIMITED,2023-07-10,True
AARTIDRUGS,INE767A01016,AARTI DRUGS LIMITED,2003-09-19,True
AARTIIND,INE769A01020,AARTI INDUSTRIES LIMITED,1995-02-08,True
AARTIPHARM,INE0LRU01027,AARTI PHARMALABS LIMITED,2023-01-30,True
AARTISURF,INE09EO01013,AARTI SURFACTANTS LIMITED,2020-07-14,True
AARVI,INE754X01016,AARVI ENCON LIMITED,2020-06-24,True
AAVAS,INE216P01012,AAVAS FINANCIERS LIMITED,2018-10-08,True
ABAN,INE421A01028,ABAN OFFSHORE LIMITED,1995-03-29,True
ABANSENT,INE365O01028,ABANS ENTERPRISES LIMITED,2026-04-20,True
ABB,INE117A01022,ABB INDIA LIMITED,1995-02-08,True
ABBOTINDIA,INE358A01014,ABBOTT INDIA LIMITED,2010-01-08,True
ABCAPITAL,INE674K01013,ADITYA BIRLA CAPITAL LIMITED,2017-09-01,True
ABCOTS,INE08PH01015,A B COTSPIN INDIA LIMITED,2025-09-24,True
ABDL,INE552Z01027,ALLIED BLENDERS AND DISTILLERS LIMITED,2024-07-02,True
ABFRL,INE647O01011,ADITYA BIRLA FASHION AND RETAIL LIMITED,2013-07-17,True
ABINFRA,INE00YB01025,A B INFRABUILD LIMITED,2024-11-08,True
ABLBL,INE14LE01019,ADITYA BIRLA LIFESTYLE BRANDS LIMITED,2025-06-23,True
ABMINTLLTD,INE251C01025,ABM INTERNATIONAL LIMITED,2021-09-09,True
ABMKNO,INE850B01026,ABM KNOWLEDGEWARE LIMITED,2026-04-20,True
ABREL,INE055A01016,ADITYA BIRLA REAL ESTATE LIMITED,2003-06-27,True
ABSLAMC,INE404A01024,ADITYA BIRLA SUN LIFE AMC LIMITED,2021-10-11,True
ACC,INE012A01025,ACC LIMITED,1996-11-20,True
ACCELYA,INE793A01012,ACCELYA SOLUTIONS INDIA LIMITED,1999-12-01,True
ACCURACY,INE648Z01023,ACCURACY SHIPPING LIMITED,2020-12-11,True
ACE,INE731H01025,ACTION CONSTRUCTION EQUIPMENT LIMITED,2006-09-26,True
ACEINTEG,INE543V01017,ACE INTEGRATED SOLUTIONS LIMITED,2022-11-04,True
ACI,INE128X01021,ARCHEAN CHEMICAL INDUSTRIES LIMITED,2022-11-21,True
ACL,INE666E01020,ANDHRA CEMENTS LIMITED,2023-05-10,True
ACMESOLAR,INE622W01025,ACME SOLAR HOLDINGS LIMITED,2024-11-13,True
ACSTECH,INE366C01021,ACS TECHNOLOGIES LIMITED,2026-04-20,True
ACUTAAS,INE00FF01025,ACUTAAS CHEMICALS LIMITED,2021-09-14,True
ADANIENSOL,INE931S01010,ADANI ENERGY SOLUTIONS LIMITED,2015-07-31,True
ADANIENT,INE423A01024,ADANI ENTERPRISES LIMITED,1997-06-04,True
ADANIGREEN,INE364U01010,ADANI GREEN ENERGY LIMITED,2018-06-18,True
ADANIPORTS,INE742F01042,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,2007-11-27,True
ADANIPOWER,INE814H01029,ADANI POWER LIMITED,2009-08-20,True
ADFFOODS,INE982B01027,ADF FOODS LIMITED,2010-09-15,True
ADL,INE0CHO01012,ARCHIDPLY DECOR LIMITED,2020-10-01,True
ADOR,INE045A01017,ADOR WELDING LIMITED,1995-05-10,True
ADROITINFO,INE737B01033,ADROIT INFOTECH LIMITED,1997-08-13,True
ADSL,INE102I01027,ALLIED DIGITAL SERVICES LIMITED,2007-07-25,True
ADVAIT,INE0ALI01010,ADVAIT ENERGY TRANSITIONS LIMITED,2026-01-20,True
ADVANCE,INE1B0W01010,ADVANCE AGROLIFE LIMITED,2025-10-08,True
ADVANIHOTR,INE199C01026,ADVANI HOTELS AND RESORTS (INDIA) LIMITED,2007-06-25,True
ADVENTHTL,INE28GN01010,ADVENT HOTELS INTERNATIONAL LIMITED,2025-11-13,True
ADVENZYMES,INE837H01020,ADVANCED ENZYME TECHNOLOGIES LIMITED,2016-08-01,True
AEGISLOG,INE208C01025,AEGIS LOGISTICS LIMITED,1996-04-03,True
AEGISVOPAK,INE0INX01018,AEGIS VOPAK TERMINALS LIMITED,2025-06-02,True
AEPL,INE757T01025,ARTEMIS ELECTRICALS AND PROJECTS LIMITED,2026-03-12,True
AEQUS,INE947N01017,AEQUS LIMITED,2025-12-10,True
AEROENTER,INE065D01027,AEROFLEX ENTERPRISES LIMITED,2022-11-21,True
AEROFLEX,INE024001021,AEROFLEX INDUSTRIES LIMITED,2023-08-31,True
AERONEU,INE035801013,AEROFLEX NEU LIMITED,2023-01-12,True
AETHER,INE0BWX01014,AETHER INDUSTRIES LIMITED,2022-06-03,True
AFCONS,INE101I01011,AFCONS INFRASTRUCTURE LIMITED,2024-11-04,True
AFFLE,INE00WC01027,AFFLE 3I LIMITED,2019-08-08,True
AFFORDABLE,INE692Z01013,AFFORDABLE ROBOTIC AND AUTOMATION LIMITED,2024-10-23,True
AFIL,INE916Y01027,AKME FINTRADE (INDIA) LIMITED,2024-06-26,True
AFSL,INE00ZE01026,ABANS FINANCIAL SERVICES LIMITED,2022-12-23,True
AGARIND,INE204E01012,AGARWAL INDUSTRIAL CORPORATION LIMITED,2014-05-26,True
AGARWALEYE,INE943P01029,DR. AGARWAL'S HEALTH CARE LIMITED,2025-02-04,True
AGI,INE415A01038,AGI GREENPAC LIMITED,2000-05-31,True
AGIIL,INE976R01033,AGI INFRA LIMITED,2024-07-15,True
AGRITECH,INE449G01018,AGRI-TECH (INDIA) LIMITED,2014-01-28,True
AGROPHOS,INE740V01019,AGRO PHOS INDIA LIMITED,2019-03-08,True
AGSTRA,INE583L01014,AGS TRANSACT TECHNOLOGIES LIMITED,2022-01-31,True
AHCL,INE0Y8W01025,ANLON HEALTHCARE LIMITED,2025-09-03,True
AHLADA,INE00PV01013,AHLADA ENGINEERS LIMITED,2021-01-28,True
AHLEAST,INE926K01017,ASIAN HOTELS (EAST) LIMITED,2010-08-11,True
AHLUCONT,INE758C01029,AHLUWALIA CONTRACTS (INDIA) LIMITED,2009-12-14,True
AHLWEST,INE915K01010,ASIAN HOTELS (WEST) LIMITED,2010-08-05,True
AIAENG,INE212H01026,AIA ENGINEERING LIMITED,2005-12-14,True
AIIL,INE206F01022,AUTHUM INVESTMENT AND INFRASTRUCTURE LIMITED,2024-04-23,True
AIRAN,INE645W01026,AIRAN LIMITED,2019-05-03,True
AIROLAM,INE801L01010,AIRO LAM LIMITED,2021-10-13,True
AJANTPHARM,INE031B01049,AJANTA PHARMA LIMITED,2000-05-29,True
AJAXENGG,INE274Y01021,AJAX ENGINEERING LIMITED,2025-02-17,True
AJMERA,INE298G01035,AJMERA REALTY AND INFRA INDIA LIMITED,2009-06-16,True
AJOONI,INE820Y01021,AJOONI BIOTECH LIMITED,2021-05-07,True
AKASH,INE737W01013,AKASH INFRA-PROJECTS LIMITED,2019-10-11,True
AKCAPIT,INE701G01012,AK CAPITAL SERVICES LIMITED,2026-04-20,True
AKG,INE00Y801016,AKG EXIM LIMITED,2021-02-16,True
AKI,INE642Z01026,AKI INDIA LIMITED,2023-04-06,True
AKSHAR,INE256Z01025,AKSHAR SPINTEX LIMITED,2022-05-23,True
