nse_symbol,isin,company_name,listing_date,active_flag
ASIANPAINT,INE021A01026,ASIAN PAINTS LIMITED,1995-05-31,True
AXISBANK,INE238A01034,AXIS BANK LIMITED,1998-11-16,True
BAJFINANCE,INE296A01032,BAJAJ FINANCE LIMITED,2003-04-01,True
BHARTIARTL,INE397D01024,BHARTI AIRTEL LIMITED,2002-02-15,True
HCLTECH,INE860A01027,HCL TECHNOLOGIES LIMITED,2000-01-06,True
HDFCBANK,INE040A01034,HDFC BANK LIMITED,1995-11-08,True
HINDUNILVR,INE030A01027,HINDUSTAN UNILEVER LIMITED,1995-07-06,True
ICICIBANK,INE090A01021,ICICI BANK LIMITED,1997-09-17,True
INFY,INE009A01021,INFOSYS LIMITED,1995-02-08,True
KOTAKBANK,INE237A01036,KOTAK MAHINDRA BANK LIMITED,1995-12-20,True
LT,INE018A01030,LARSEN AND TOUBRO LIMITED,2004-06-23,True
MARUTI,INE585B01010,MARUTI SUZUKI INDIA LIMITED,2003-07-09,True
NTPC,INE733E01010,NTPC LIMITED,2004-11-05,True
ONGC,INE213A01029,OIL AND NATURAL GAS CORPORATION LIMITED,1995-07-19,True
RELIANCE,INE002A01018,RELIANCE INDUSTRIES LIMITED,1995-11-29,True
SBIN,INE062A01020,STATE BANK OF INDIA,1995-03-01,True
SUNPHARMA,INE044A01036,SUN PHARMACEUTICAL INDUSTRIES LIMITED,1995-02-08,True
TCS,INE467B01029,TATA CONSULTANCY SERVICES LIMITED,2004-08-25,True
TITAN,INE280A01028,TITAN COMPANY LIMITED,2004-09-24,True
WIPRO,INE075A01022,WIPRO LIMITED,1995-11-08,True
